"Date","Price","Open","High","Low","Vol.","Change %"
"03/22/2023","85.83","86.29","86.29","84.94","0.68K","-0.83%"
"03/21/2023","86.56","85.77","87.31","85.70","0.51K","2.94%"
"03/20/2023","84.08","81.48","85.00","81.36","1.71K","0.39%"
"03/17/2023","83.75","85.85","85.85","83.71","2.02K","-0.53%"
"03/16/2023","84.20","85.00","85.00","82.80","7.72K","-1.46%"
"03/15/2023","85.44","90.35","91.00","85.95","4.26K","-3.82%"
"03/14/2023","88.84","91.66","91.85","89.30","7.55K","-5.11%"
"03/13/2023","93.62","92.00","93.25","92.00","0.11K","-2.29%"
"03/10/2023","95.81","95.51","95.51","94.25","0.24K","1.11%"
"03/09/2023","94.75","93.77","94.80","93.53","0.37K","1.29%"
"03/08/2023","93.55","93.00","93.99","92.54","0.34K","2.26%"
"03/07/2023","91.49","92.76","92.76","92.76","0.50K","2.78%"
"03/06/2023","89.01","89.50","90.35","89.18","0.30K","1.11%"
"03/03/2023","88.03","88.90","88.90","88.00","0.34K","-0.86%"
"03/02/2023","88.79","92.08","92.08","88.81","0.22K","-3.92%"
"03/01/2023","92.42","93.52","93.52","93.52","0.10K","-2.76%"
"02/28/2023","95.04","93.08","95.84","93.08","10.14K","-0.95%"
"02/27/2023","95.95","92.44","95.88","92.44","2.21K","2.98%"
"02/24/2023","93.17","94.18","94.18","93.06","2.94K","0.54%"
"02/23/2023","92.67","92.46","93.97","92.46","8.21K","0.31%"
